insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	9554	9558	0	0	1	0	800m	1.74g	34m	0	6.0%	0	0|0	0|6	5m	3m	12	08:34:10	4.52	0.00	3.64	0.15	0.58	91.11	dm-0	0.00	0.00	0.00	20.00	0.00	184.00	18.40	0.02	0.80	0.80	1.60
0	9660	9657	0	0	1	0	800m	1.74g	34m	0	5.9%	0	1|0	1|0	5m	3m	12	08:34:11	5.19	0.00	5.19	9.09	0.29	80.23	dm-0	0.00	0.00	0.00	183.00	0.00	2836.00	30.99	3.34	17.38	4.24	77.60
0	9589	9590	0	0	1	0	800m	1.74g	35m	0	6.6%	0	4|0	2|0	5m	3m	12	08:34:12	5.48	0.00	4.18	1.59	0.43	88.31	dm-0	0.00	0.00	0.00	40.00	0.00	532.00	26.60	0.52	16.90	3.30	13.20
0	10692	10689	0	0	1	0	800m	1.74g	34m	0	7.3%	0	0|0	0|0	5m	3m	12	08:34:14	4.00	0.00	4.89	0.15	0.59	90.37	dm-0	0.00	0.00	0.00	18.00	0.00	232.00	25.78	0.03	1.78	1.78	3.20
0	11448	11447	0	0	1	0	800m	1.74g	34m	0	5.6%	0	0|0	0|0	5m	3m	12	08:34:15	3.26	0.00	4.45	0.15	0.45	91.69	dm-0	0.00	0.00	0.00	21.00	0.00	224.00	21.33	0.02	0.95	0.95	2.00
0	11417	11417	0	0	1	0	800m	1.74g	34m	0	4.9%	0	0|0	0|2	4m	3m	12	08:34:16	3.96	0.00	4.99	0.15	0.44	90.47	dm-0	0.00	0.00	0.00	18.00	0.00	184.00	20.44	0.02	0.89	0.89	1.60
0	11193	11195	0	0	1	0	800m	1.74g	34m	0	6.0%	0	0|0	1|1	4m	2m	12	08:34:17	2.82	0.00	4.16	0.30	0.45	92.27	dm-0	0.00	0.00	0.00	21.00	0.00	184.00	17.52	0.02	0.76	0.76	1.60
0	11069	11070	0	0	1	0	800m	1.74g	34m	0	4.9%	0	0|1	0|1	4m	3m	12	08:34:18	2.34	0.00	5.71	0.29	0.44	91.22	dm-0	0.00	0.00	0.00	26.00	0.00	244.00	18.77	0.04	1.38	0.92	2.40
0	10871	10870	0	0	1	0	800m	1.74g	34m	0	5.5%	0	0|0	0|0	5m	3m	12	08:34:19	3.21	0.00	4.82	0.00	0.58	91.39	dm-0	0.00	0.00	0.00	19.00	0.00	176.00	18.53	0.00	0.00	0.00	0.00
0	10680	10681	0	0	1	0	800m	1.74g	34m	0	5.3%	0	0|0	1|0	5m	3m	12	08:34:20	3.51	0.00	3.66	0.29	0.29	92.24	dm-0	0.00	0.00	0.00	20.00	0.00	176.00	17.60	0.01	0.60	0.60	1.20
0	10924	10922	0	0	1	0	800m	1.74g	34m	0	5.9%	0	0|0	0|0	5m	3m	12	08:34:21	3.35	0.00	5.10	0.00	0.44	91.11	dm-0	0.00	0.00	0.00	20.00	0.00	160.00	16.00	0.01	0.40	0.40	0.80
0	10550	10553	0	0	1	0	800m	1.74g	34m	0	5.5%	0	1|0	0|0	4m	3m	12	08:34:22	1.78	0.00	3.71	0.15	0.45	93.92	dm-0	0.00	0.00	0.00	18.00	0.00	144.00	16.00	0.00	0.22	0.22	0.40
0	9631	9628	0	0	1	0	800m	1.74g	34m	0	6.4%	0	0|0	0|1	4m	2m	12	08:34:23	3.03	0.00	3.32	0.14	0.43	93.06	dm-0	0.00	0.00	0.00	25.00	0.00	124.00	9.92	0.01	0.32	0.32	0.80
0	10759	10760	0	0	1	0	800m	1.74g	34m	0	6.0%	0	0|0	0|0	5m	3m	12	08:34:24	3.68	0.00	5.00	0.15	0.44	90.74	dm-0	0.00	0.00	0.00	20.00	0.00	152.00	15.20	0.02	0.80	0.80	1.60
0	10554	10555	0	0	1	0	800m	1.74g	34m	0	6.9%	0	0|0	0|0	5m	3m	12	08:34:25	5.58	0.00	4.55	0.15	0.44	89.28	dm-0	0.00	0.00	0.00	18.00	0.00	144.00	16.00	0.01	0.44	0.44	0.80
0	10374	10372	0	0	1	0	800m	1.74g	35m	0	5.4%	0	0|0	0|0	5m	3m	12	08:34:26	4.69	0.00	4.11	0.29	0.44	90.47	dm-0	0.00	0.00	0.00	21.00	0.00	192.00	18.29	0.01	0.38	0.38	0.80
0	10466	10469	0	0	1	0	800m	1.74g	34m	0	6.1%	0	0|0	0|2	4m	3m	12	08:34:27	2.82	0.00	2.97	0.30	0.45	93.46	dm-0	0.00	0.00	0.00	20.00	0.00	208.00	20.80	0.00	0.00	0.00	0.00
0	7378	7379	0	0	1	0	800m	1.74g	34m	0	5.8%	0	0|0	0|0	3m	2m	12	08:34:28	1.70	0.00	1.70	0.14	0.43	96.03	dm-0	0.00	0.00	0.00	23.00	0.00	172.00	14.96	0.04	1.74	1.04	2.40
0	1078	1079	0	0	1	0	800m	1.74g	34m	0	0.8%	0	0|0	0|0	490k	322k	12	08:34:29	0.13	0.00	0.77	0.00	0.13	98.98	dm-0	0.00	0.00	0.00	9.90	0.00	39.60	8.00	0.00	0.40	0.40	0.40
0	0	0	0	0	1	0	800m	1.74g	34m	0	0.0%	0	0|0	0|0	62b	3k	12	08:34:30	0.00	0.00	0.00	0.00	0.00	100.00	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	6413	6409	0	0	23	0	800m	1.74g	34m	0	3.6%	0	0|0	0|0	2m	2m	14	08:34:31	1.36	0.00	2.30	0.14	0.14	96.07	dm-0	0.00	0.00	0.00	8.00	0.00	32.00	8.00	0.01	1.50	1.50	1.20
0	13538	13536	0	0	1	0	800m	1.74g	34m	0	6.2%	0	0|0	0|1	6m	4m	14	08:34:32	4.67	0.00	7.23	0.15	0.45	87.50	dm-0	0.00	0.00	0.00	20.00	0.00	96.00	9.60	0.01	0.40	0.40	0.80
0	13357	13358	0	0	1	0	800m	1.74g	34m	0	9.4%	0	0|0	0|0	6m	4m	14	08:34:33	5.11	0.00	6.46	0.15	0.60	87.69	dm-0	0.00	0.00	0.00	25.00	0.00	164.00	13.12	0.01	0.48	0.48	1.20
0	13820	13820	0	0	1	0	800m	1.74g	34m	0	6.7%	0	0|0	1|0	6m	4m	14	08:34:34	5.08	0.00	4.93	0.15	0.62	89.21	dm-0	0.00	0.00	0.00	18.00	0.00	144.00	16.00	0.01	0.67	0.67	1.20
0	12811	12812	0	0	1	0	800m	1.74g	34m	0	8.6%	0	0|0	0|0	6m	4m	14	08:34:35	3.91	0.00	6.02	0.15	0.45	89.47	dm-0	0.00	0.00	0.00	20.00	0.00	176.00	17.60	0.02	1.00	1.00	2.00
0	13222	13218	0	0	1	0	800m	1.74g	34m	0	6.5%	0	0|0	0|0	6m	4m	14	08:34:36	4.37	0.00	6.33	0.00	0.60	88.69	dm-0	0.00	0.00	0.00	20.00	0.00	176.00	17.60	0.00	0.20	0.20	0.40
0	13164	13166	0	0	1	0	800m	1.74g	34m	0	6.6%	0	0|0	0|0	5m	3m	14	08:34:37	4.92	0.00	6.41	0.30	0.45	87.93	dm-0	0.00	0.00	0.00	18.00	0.00	144.00	16.00	0.00	0.22	0.22	0.40
0	12732	12732	0	0	1	0	800m	1.74g	34m	0	5.3%	0	0|0	0|1	6m	4m	14	08:34:38	4.20	0.00	5.71	0.15	0.45	89.49	dm-0	0.00	0.00	0.00	25.00	0.00	180.00	14.40	0.01	0.48	0.48	1.20
0	13281	13281	0	0	1	0	800m	1.74g	34m	0	7.1%	0	1|0	2|0	6m	4m	14	08:34:39	4.51	0.00	6.17	0.15	0.60	88.57	dm-0	0.00	0.00	0.00	20.00	0.00	168.00	16.80	0.01	0.60	0.60	1.20
