insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	2626	2625	0	0	1	0	800m	1.79g	36m	0	1.4%	0	1|0	1|0	1m	775k	15	09:37:55	0.40	0.00	0.53	0.26	0.13	98.68	dm-0	0.00	0.00	0.00	20.00	0.00	80.00	8.00	0.01	0.40	0.40	0.80
0	2157	2156	0	0	1	0	800m	1.79g	36m	0	1.1%	0	1|0	0|0	1m	705k	15	09:37:57	0.78	0.00	1.03	0.00	0.00	98.19	dm-0	0.00	0.00	0.00	18.00	0.00	72.00	8.00	0.01	0.44	0.44	0.80
0	2368	2370	0	0	1	0	800m	1.79g	36m	0	1.6%	0	0|0	0|0	1m	814k	15	09:37:58	0.78	0.00	0.91	0.13	0.26	97.93	dm-0	0.00	0.00	0.00	21.00	0.00	84.00	8.00	0.01	0.38	0.38	0.80
0	1276	1276	0	0	1	0	800m	1.79g	36m	0	0.7%	0	0|0	0|0	564k	359k	15	09:37:59	0.25	0.00	0.64	0.13	0.00	98.98	dm-0	0.00	0.00	0.00	12.00	0.00	48.00	8.00	0.01	0.67	0.67	0.80
0	1769	1767	0	0	1	0	800m	1.79g	36m	0	0.9%	0	0|0	0|0	716k	474k	15	09:38:00	0.89	0.00	1.02	0.00	0.00	98.09	dm-0	0.00	0.00	0.00	18.00	0.00	72.00	8.00	0.02	0.89	0.89	1.60
0	2525	2526	0	0	1	0	800m	1.79g	36m	0	2.1%	0	0|0	0|0	1m	843k	15	09:38:01	0.39	0.00	0.78	0.13	0.13	98.57	dm-0	0.00	0.00	0.00	18.00	0.00	72.00	8.00	0.01	0.44	0.44	0.80
0	1623	1612	0	0	1	0	800m	1.79g	36m	0	1.0%	0	0|0	0|0	961k	628k	15	09:38:02	0.77	0.00	0.64	0.13	0.13	98.34	dm-0	0.00	0.00	0.00	20.00	0.00	80.00	8.00	0.01	0.40	0.40	0.80
0	671	671	0	0	1	0	800m	1.79g	36m	0	0.6%	0	0|0	0|0	435k	255k	15	09:38:03	0.38	0.00	0.50	0.25	0.00	98.87	dm-0	0.00	0.00	0.00	19.00	0.00	76.00	8.00	0.01	0.63	0.42	0.80
0	934	934	0	0	1	0	800m	1.79g	36m	0	0.4%	0	0|0	0|0	423k	294k	15	09:38:04	0.13	0.00	0.63	0.00	0.00	99.24	dm-0	0.00	0.00	0.00	16.00	0.00	64.00	8.00	0.01	0.50	0.50	0.80
0	1707	1705	0	0	1	0	800m	1.79g	36m	0	1.0%	0	0|0	0|0	728k	517k	15	09:38:05	0.38	0.00	0.38	0.00	0.13	99.10	dm-0	0.00	0.00	0.00	18.00	0.00	72.00	8.00	0.00	0.22	0.22	0.40
0	751	753	0	0	1	0	800m	1.79g	36m	0	0.9%	0	0|0	0|0	418k	302k	15	09:38:06	0.13	0.00	0.63	0.25	0.13	98.87	dm-0	0.00	0.00	0.00	18.00	0.00	72.00	8.00	0.01	0.44	0.44	0.80
0	0	0	0	0	1	0	800m	1.79g	35m	0	0.0%	0	0|0	0|0	62b	3k	15	09:38:07	0.13	0.00	0.38	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	758	758	0	0	21	0	800m	1.79g	35m	0	0.9%	0	0|0	0|0	330k	238k	16	09:38:08	0.00	0.00	0.38	0.13	0.00	99.49	dm-0	0.00	0.00	0.00	4.00	0.00	16.00	8.00	0.00	0.00	0.00	0.00
0	5903	5903	0	0	7	0	800m	1.79g	36m	0	2.7%	0	0|0	0|0	2m	1m	16	09:38:09	1.08	0.00	2.70	0.00	0.27	95.95	dm-0	0.00	0.00	0.00	21.00	0.00	84.00	8.00	0.00	0.19	0.19	0.40
0	4866	4863	0	0	1	0	800m	1.79g	36m	0	2.2%	0	0|0	0|1	2m	1m	16	09:38:10	1.20	0.00	1.87	0.13	0.27	96.53	dm-0	0.00	0.00	0.00	20.00	0.00	80.00	8.00	0.01	0.40	0.40	0.80
0	5164	5165	0	0	1	0	800m	1.79g	36m	0	3.7%	0	1|0	1|0	2m	1m	16	09:38:11	1.08	0.00	1.89	0.00	0.13	96.90	dm-0	0.00	0.00	0.00	19.00	0.00	80.00	8.42	0.01	0.42	0.42	0.80
0	5257	5257	0	0	1	1	800m	1.79g	36m	0	5.4%	0	0|0	0|0	2m	1m	16	09:38:12	1.09	0.00	1.49	5.71	0.27	91.44	dm-0	0.00	0.00	0.00	145.00	0.00	1644.00	22.68	1.27	8.74	2.70	39.20
0	5407	5408	0	0	1	0	800m	1.79g	35m	0	3.1%	0	0|0	0|0	2m	1m	16	09:38:13	1.61	0.00	1.74	0.00	0.27	96.38	dm-0	0.00	0.00	0.00	18.00	0.00	96.00	10.67	0.01	0.44	0.44	0.80
0	5635	5632	0	0	1	0	800m	1.79g	36m	0	2.9%	0	0|0	1|0	2m	1m	16	09:38:14	1.09	0.00	1.90	0.14	0.27	96.60	dm-0	0.00	0.00	0.00	20.00	0.00	88.00	8.80	0.01	0.60	0.60	1.20
0	6378	6379	0	0	1	0	800m	1.79g	36m	0	2.5%	0	1|0	0|1	3m	2m	16	09:38:15	1.80	0.00	1.24	0.14	0.28	96.55	dm-0	0.00	0.00	0.00	20.00	0.00	104.00	10.40	0.01	0.40	0.40	0.80
