insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	12	0	0	0	2	0	800m	2.05g	27m	0	multi7:0.0%	0	0|0	0|0	124b	7k	305	21:57:08	0.00	0.00	0.25	0.00	0.25	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi0:0.0%	0	0|0	0|0	124b	7k	305	21:57:09	0.25	0.00	0.88	1.51	0.00	97.36	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	3.02	62.92	1.92	9.20
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:11	0.00	0.00	0.25	0.00	0.13	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi4:0.0%	0	0|0	0|0	124b	7k	305	21:57:12	0.13	0.00	0.50	0.75	0.13	98.49	dm-0	0.00	0.00	0.00	51.00	0.00	2060.00	80.78	1.34	26.20	3.76	19.20
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:13	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:14	0.00	0.00	0.75	0.00	0.25	98.99	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.53	31.83	1.42	6.80
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:15	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:16	0.25	0.00	0.50	0.00	0.13	99.12	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.11	44.00	1.92	9.20
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	305	21:57:17	0.13	0.00	0.00	0.00	0.13	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	4969	4954	0	0	2	0	800m	2.05g	27m	0	multi7:12.8%	0	111|0	0|1	1m	1m	305	21:57:18	1.01	0.00	2.73	0.86	0.72	94.68	dm-0	0.00	0.00	0.00	51.00	0.00	2060.00	80.78	2.48	48.55	3.29	16.80
0	16376	16337	0	0	2	0	800m	2.05g	27m	0	multi7:30.3%	0	27|0	0|1	7m	5m	305	21:57:19	15.72	0.00	24.53	2.04	1.89	55.82	dm-0	0.00	0.00	0.00	18.00	0.00	28.00	3.11	0.26	12.22	10.44	18.80
0	11193	11245	0	0	2	1	800m	2.05g	27m	0	multi5:16.3%	0	0|0	0|0	5m	4m	305	21:57:20	10.29	0.00	14.81	2.88	0.82	71.19	dm-0	0.00	0.00	0.00	61.00	0.00	2068.00	67.80	1.79	30.03	4.33	26.40
0	14311	14256	0	0	2	0	800m	2.05g	27m	0	multi0:16.3%	0	0|0	0|0	6m	5m	305	21:57:21	12.60	0.00	14.06	0.53	0.66	72.15	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	14733	14789	0	0	2	0	800m	2.05g	27m	0	multi5:15.9%	0	0|0	0|1	7m	5m	305	21:57:22	14.97	0.00	20.05	0.14	0.82	64.01	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.04	21.75	1.25	6.00
0	9453	9418	0	0	2	0	800m	2.05g	27m	0	multi0:9.1%	0	22|0	1|1	4m	2m	305	21:57:23	6.45	0.00	8.95	0.13	0.39	84.08	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	13687	13714	0	0	4	0	800m	2.05g	28m	0	multi2:22.6%	0	0|0	1|1	6m	4m	305	21:57:24	12.22	0.00	17.19	0.28	0.99	69.32	dm-0	0.00	0.00	0.00	52.00	0.00	2064.00	79.38	1.34	25.15	1.38	7.20
0	7487	7491	0	0	3	0	800m	2.05g	28m	0	multi2:9.4%	0	0|0	0|0	3m	2m	305	21:57:25	5.55	0.00	6.47	0.13	0.40	87.45	dm-0	0.00	0.00	0.00	1.00	0.00	4.00	8.00	0.04	68.00	12.00	1.20
0	7441	7437	0	0	2	0	800m	2.05g	28m	0	multi2:5.4%	0	0|0	0|0	3m	2m	305	21:57:26	5.43	0.00	6.23	0.26	0.40	87.68	dm-0	0.00	0.00	0.00	1.00	0.00	44.00	88.00	0.01	0.00	8.00	0.80
0	13489	13492	0	0	2	0	800m	2.05g	28m	0	multi2:15.3%	0	0|0	0|4	6m	4m	305	21:57:27	9.58	0.00	10.00	0.14	0.56	79.72	dm-0	0.00	0.00	0.00	47.00	0.00	2004.00	85.28	3.77	80.34	3.15	14.80
0	15678	15663	0	0	2	0	800m	2.05g	28m	0	multi2:14.4%	0	0|0	0|0	7m	5m	305	21:57:28	13.85	0.00	15.91	0.14	0.55	69.55	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	19986	19997	0	0	2	0	800m	2.05g	28m	0	multi2:20.3%	0	1|0	2|0	9m	6m	305	21:57:29	18.61	0.00	20.83	0.14	0.97	59.44	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	3.42	71.25	3.33	16.00
0	13790	13768	0	0	2	0	800m	2.05g	28m	0	multi4:11.8%	0	10|0	4|2	6m	4m	305	21:57:30	13.53	0.00	17.65	0.26	0.52	68.04	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	20852	20867	0	0	5	0	800m	2.05g	28m	0	multi8:15.4%	0	9|0	1|3	9m	6m	305	21:57:31	20.05	0.00	20.05	0.13	0.67	59.08	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.22	46.33	3.08	14.80
0	23750	23701	0	0	5	0	800m	2.05g	28m	0	multi2:19.0%	0	8|0	0|1	11m	7m	305	21:57:32	24.11	0.00	27.81	0.27	0.82	46.99	dm-0	0.00	0.00	0.00	5.00	0.00	20.00	8.00	0.10	20.00	12.80	6.40
0	25620	25659	0	0	11	0	800m	2.05g	28m	0	multi8:25.2%	0	65|0	2|2	12m	8m	305	21:57:33	28.24	0.00	46.49	0.14	0.54	24.59	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.21	25.17	1.50	7.20
