insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	0	0	0	0	2	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	135b	3k	32	23:23:43	0.00	0.00	0.00	0.00	0.00	100.00	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:45	0.25	0.00	0.62	0.25	0.00	98.88	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:46	0.12	0.00	0.37	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:47	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:48	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:49	0.12	0.00	0.37	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:50	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:51	0.12	0.00	0.38	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:52	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:53	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:54	0.12	0.00	0.37	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:55	0.00	0.00	0.13	0.13	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:56	0.00	0.00	0.50	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:57	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	.:0.1%	0	0|0	0|0	62b	3k	32	23:23:58	0.00	0.00	0.37	0.00	0.00	99.63	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:23:59	0.25	0.00	0.13	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:24:00	0.13	0.00	0.13	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:24:01	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:24:02	0.12	0.00	0.25	0.00	0.00	99.63	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:24:03	0.00	0.00	0.13	0.00	0.00	99.87	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	1	0	800m	1.8g	41m	0	0.0%	0	0|0	0|0	62b	3k	32	23:24:04	0.00	0.00	0.50	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
